hora,nova_cabeceira,antiga_cabeceira,aero
1654291325000,17,10,SV
1654278820000,17,10,SV
1654279687000,36,18,RF
1654292451000,10,17,SV
1654347958000,15,21,KP
1654294410000,17,10,SV
1654294600000,10,17,SV
1654295111000,17,10,SV
1654295855000,10,17,SV
1654280376000,10,17,SV
1654298453000,18,36,RF
1654298716000,20L,17R,RJ
1654298822000,17R,20L,SP
1654281847000,29,24,PA
1654299184000,17,10,SV
1654351107000,03,32,FL
1654299386000,20L,18,RJ
1654301733000,10,17,SV
1654303544000,17,10,SV
1654303974000,11L,14,BR
1654304591000,15,18,KP
1654304745000,10,17,SV
1654312308000,17,10,SV
1654315066000,18,15,RF
1654315494000,10,17,SV
1654334601000,32,14,FL
1654336725000,17,10,SV
1654282151000,17,10,SV
1654282584000,29,24,PA
1654282774000,15,36,KP
1654283024000,17R,16,SP
1654283630000,10,17,SV
1654283838000,17,10,SV
1654283945000,10,17,SV
1654283979000,21,07,FL
1654284232000,16,20,CF
1654284759000,15,17R,GL
1654285024000,11,29,PA
1654285071000,17R,12,SP
1654285407000,21,14,FL
1654285831000,17,10,SV
1654338566000,02R,20L,RJ
1654338954000,03,32,FL
1654339840000,10,17,SV
1654340486000,15,24,KP
1654340778000,32,03,FL
1654341989000,21,32,FL
1654342306000,32,21,FL
1654342977000,15,14,KP
1654361449000,14,32,FL
1654361856000,17,10,SV
1654361992000,10,17,SV
1654364310000,17,10,SV
1654364645000,03,14,FL
1654364667000,11L,12,BR
1654365202000,15,33,KP
1654351856000,17,10,SV
1654366319000,14,03,FL
1654366477000,03,14,FL
1654366876000,16,13,CF
1654367005000,15,19,KP
1654352372000,15,33,KP
1654352450000,10,17,SV
1654369144000,15,33,KP
1654428349000,03,32,FL
1654428454000,16,17,CF
1654369364000,10,17,SV
1654353008000,02R,20L,RJ
1654369482000,16,13,CF
1654369716000,03,05,FL
1654370075000,17,10,SV
1654429775000,32,03,FL
1654430143000,10,12,SV
1654370277000,10,17,SV
1654353304000,20L,02R,RJ
1654353394000,18,13,RF
1654370854000,32,03,FL
1654370957000,17,10,SV
1654432377000,10,17,SV
1654354533000,32,03,FL
1654432960000,03,32,FL
1654433878000,17,10,SV
1654434301000,33,15,CT
1654372115000,16,13,CF
1654372162000,10,17,SV
1654372777000,03,32,FL
1654435492000,10,17,SV
1654435810000,20L,02R,RJ
1654436344000,02R,20L,RJ
1654374189000,17,10,SV
1654374453000,32,03,FL
1654374672000,15,16,KP
1654374866000,10,17,SV
1654375856000,17,10,SV
1654376722000,17R,12,SP
1654377761000,10,17,SV
1654379624000,15,18,KP
1654436864000,16,13,CF
1654437215000,03,07,FL
1654354576000,20L,21,RJ
1654437951000,03,05,FL
1654438167000,32,03,FL
1654438184000,17,10,SV
1654382634000,17R,30,SP
1654384933000,17R,35L,SP
1654385511000,02R,20L,RJ
1654438925000,10,17,SV
1654355032000,03,04,FL
1654388394000,17L,24,SP
1654397173000,17,10,SV
1654357331000,17,10,SV
1654397401000,10,17,SV
1654398873000,15,12,KP
1654408883000,17,10,SV
1654424016000,10,17,SV
1654425469000,17,10,SV
1654440257000,17,10,SV
1654357479000,03,32,FL
1654443412000,20L,02R,RJ
1654358335000,32,03,FL
1654444139000,18,10,RF
1654359672000,10,17,SV
1654444466000,10,17,SV
1654448628000,15,02C,GL
1654360375000,17,10,SV
1654361138000,10,17,SV
1654449366000,17,10,SV
1654473522000,17,10,SV
1654449504000,10,17,SV
1654449717000,17,10,SV
1654450342000,18,12,RF
1654450533000,10,17,SV
1654447992000,29,24,PA
1654473770000,10,17,SV
1654451322000,17,10,SV
1654478252000,17,10,SV
1654451967000,15,33,KP
1654452386000,33,08,CT
1654478495000,10,17,SV
1654489855000,17,10,SV
1654453958000,33,18,CT
1654454062000,10,17,SV
1654522912000,10,17,SV
1654506157000,35L,17R,SP
1654523599000,17,10,SV
1654523812000,33,15,KP
1654523915000,11L,14,BR
1654524235000,10,17,SV
1654524264000,33,34,KP
1654455809000,17,10,SV
1654456216000,15,12,KP
1654507000000,02R,20L,RJ
1654456667000,10,17,SV
1654524661000,35L,12,SP
1654525186000,03,32,FL
1654508364000,15,21,GL
1654508438000,09R,27L,GR
1654525749000,17,10,SV
1654508746000,15,21,GL
1654458308000,15,33,CT
1654510838000,10,17,SV
1654458943000,20L,21,RJ
1654458946000,17,10,SV
1654459252000,10,17,SV
1654459437000,17,10,SV
1654526927000,10,17,SV
1654527363000,32,03,FL
1654528623000,17,10,SV
1654459859000,15,33,KP
1654459986000,33,26,CT
1654529314000,10,17,SV
1654510949000,15,08,GL
1654511870000,15,21,GL
1654529440000,03,32,FL
1654460508000,10,17,SV
1654460603000,11,29,PA
1654461232000,15,20L,GL
1654461385000,20L,15,RJ
1654512430000,35L,12,SP
1654461990000,15,08,GL
1654530166000,32,03,FL
1654531140000,03,32,FL
1654531215000,33,05,KP
1654513106000,21,32,FL
1654462332000,17,10,SV
1654513882000,32,21,FL
1654531431000,35L,18,SP
1654531528000,18,35L,RF
1654531613000,02R,21,RJ
1654515669000,02R,03,RJ
1654531947000,33,26,CT
1654532337000,32,03,FL
1654534032000,28,10,SV
1654534296000,27L,09R,GR
1654534358000,15,05,GL
1654534366000,21,32,FL
1654534580000,17,28,SV
1654464423000,10,17,SV
1654464702000,17,10,SV
1654464948000,10,17,SV
1654465334000,17,10,SV
1654465579000,10,17,SV
1654465860000,17,10,SV
1654466018000,10,17,SV
1654537946000,17,28,SV
1654541144000,17,12,SV
1654541337000,35L,07,SP
1654534759000,28,17,SV
1654536680000,02R,03,RJ
1654536799000,14,21,FL
1654536985000,17,28,SV
1654537355000,28,17,SV
1654556306000,15,33,KP
1654556886000,35L,18,SP
1654557159000,18,35L,RF
1654558761000,09R,27L,GR
1654560988000,33,15,CT
1654561536000,17,10,SV
1654562637000,10,17,SV
1654565338000,02R,20L,RJ
1654568521000,14,32,FL
1654572281000,32,14,FL
1654542274000,33,12,KP
1654542345000,10,17,SV
1654543158000,11L,27,BR
1654543203000,15,08,GL
1654543587000,33,21,KP
1654543637000,21,14,FL
1654576192000,17L,35L,SP
1654515975000,15,33,KP
1654592368000,15,36,KP
1654543879000,17,10,SV
1654543966000,10,17,SV
1654592613000,35L,17L,SP
1654544268000,17,10,SV
1654544341000,14,21,FL
1654518916000,29,11,PA
1654544386000,02R,08,RJ
1654544981000,10,17,SV
1654545363000,32,14,FL
1654545674000,20L,02R,RJ
1654545778000,17,10,SV
1654546193000,33,15,KP
1654595489000,09R,30,GR
1654596450000,17,10,SV
1654597239000,15,33,CT
1654598082000,15,21,GL
1654598112000,18,16L,RF
1654598213000,15,26,GL
1654598683000,10,17,SV
1654547178000,11,29,PA
1654547539000,10,17,SV
1654519781000,33,15,CT
1654548442000,15,23,GL
1654549983000,33,34,KP
1654550762000,33,07,KP
1654600692000,15,16,KP
1654601159000,02R,21,RJ
1654602156000,02R,26,RJ
1654602275000,15,30,KP
1654602302000,14,32,FL
1654552845000,16,13,CF
1654552981000,15,33,CT
1654603494000,17,10,SV
1654520205000,15,12,KP
1654603543000,11L,14,BR
1654603854000,02R,10,RJ
1654555547000,16,13,CF
1654555614000,15,16,GL
1654521035000,15,03,KP
1654605226000,10,17,SV
1654607126000,33,15,KP
1654521921000,17,10,SV
1654607268000,10,28,SV
1654605809000,28,10,SV
1654606043000,18,12,RF
1654606284000,35R,07,SP
1654522193000,15,12,KP
1654522289000,15,02R,GL
1654522474000,02R,15,RJ
1654609614000,15,03,GL
1654637815000,20L,03,RJ
1654609733000,28,10,SV
1654609946000,18,16L,RF
1654610222000,17,28,SV
1654638072000,11L,29L,BR
1654610439000,28,17,SV
1654639306000,17,28,SV
1654611036000,15,05,GL
1654620931000,20L,02R,RJ
1654639493000,28,17,SV
1654640254000,15,33,KP
1654622454000,33,15,CT
1654622499000,27L,21,GR
1654611651000,17,28,SV
1654611748000,28,17,SV
1654641486000,17,28,SV
1654612359000,17,28,SV
1654642049000,28,17,SV
1654643819000,17,28,SV
1654613791000,15,26,GL
1654646459000,28,17,SV
1654614405000,18,21,RF
1654625184000,15,04,GL
1654615180000,27L,09R,GR
1654651144000,17,28,SV
1654615558000,33,15,KP
1654615753000,33,20,KP
1654626070000,33,36,KP
1654652748000,28,17,SV
1654678060000,10,28,SV
1654629034000,16,13,CF
1654617949000,15,26,GL
1654618037000,28,17,SV
1654618320000,11,15,PA
1654618472000,17R,35L,SP
1654629542000,17R,30,SP
1654680497000,02R,20L,RJ
1654619436000,15,26,GL
1654684478000,15,21,GL
1654630972000,11L,14,BR
1654684708000,15,02R,GL
1654632193000,33,36,KP
1654685717000,15,08,GL
1654685824000,15,08,GL
1654633231000,17,28,SV
1654633356000,28,17,SV
1654685828000,15,21,GL
1654686158000,17,10,SV
1654634098000,17,28,SV
1654634313000,15,33,CT
1654694355000,15,18,KP
1654686492000,10,17,SV
1654634451000,29R,11L,BR
1654634668000,09R,27L,GR
1654634863000,15,NIL,CT
1654687292000,18,15,RF
1654635537000,28,17,SV
1654636205000,15,21,GL
1654636456000,15,16,GL
1654694520000,10,17,SV
1654694647000,17,10,SV
1654694892000,10,17,SV
1654688184000,21,14,FL
1654688470000,14,21,FL
1654688710000,21,14,FL
1654689371000,17,10,SV
1654689893000,14,21,FL
1654697303000,14,21,FL
1654697330000,02R,21,RJ
1654697433000,17,10,SV
1654707090000,03,21,FL
1654707327000,17,10,SV
1654707433000,10,17,SV
1654692127000,11R,32,BR
1654707638000,21,03,FL
1654709266000,14,21,FL
1654698278000,10,17,SV
1654699384000,17,10,SV
1654699919000,20L,02R,RJ
1654700322000,10,17,SV
1654700722000,17,10,SV
1654700920000,10,17,SV
1654701258000,20L,21,RJ
1654701350000,17,10,SV
1654701380000,17R,16,SP
1654701394000,21,14,FL
1654701410000,14,25,FL
1654701837000,10,17,SV
1654701983000,16,13,CF
1654701987000,17,10,SV
1654702139000,10,17,SV
1654703145000,11L,32,BR
1654703178000,14,21,FL
1654703628000,17,10,SV
1654703822000,10,17,SV
1654704129000,15,08,GL
1654704831000,21,14,FL
1654704834000,17,10,SV
1654705166000,10,17,SV
1654710327000,17,10,SV
1654711107000,17,15,SV
1654711346000,11L,32,BR
1654711646000,15,18,KP
1654712290000,10,17,SV
1654713682000,21,14,FL
1654714353000,14,21,FL
1654714673000,21,14,FL
1654715113000,17,10,SV
1654716121000,10,17,SV
1654705579000,17,10,SV
1654705627000,10,17,SV
1654705999000,11L,12,BR
1654692389000,10,13,SV
1654717998000,17,10,SV
1654693143000,10,13,SV
1654718407000,03,21,FL
1654718790000,10,17,SV
1654718944000,21,03,FL
1654719259000,17,10,SV
1654719340000,15,16,KP
1654719443000,14,21,FL
1654719711000,11,15,PA
1654693618000,14,25,FL
1654719783000,10,17,SV
1654719944000,35,10,SV
1654722378000,10,17,SV
1654720285000,11,15,PA
1654693638000,17,10,SV
1654720664000,17,35,SV
1654720862000,21,14,FL
1654693882000,21,14,FL
1654724636000,14,21,FL
1654794467000,16,09,CF
1654725729000,17,10,SV
1654726255000,10,17,SV
1654726591000,21,14,FL
1654726957000,15,16,GL
1654779693000,10,17,SV
1654780153000,02R,14,RJ
1654780557000,17,10,SV
1654727878000,17R,02,SP
1654728546000,14,21,FL
1654728736000,15,14,KP
1654729010000,17,10,SV
1654730408000,17R,10,SP
1654731940000,02R,20L,RJ
1654732542000,21,14,FL
1654780966000,10,17,SV
1654780994000,02R,14,RJ
1654733647000,10,17,SV
1654734359000,14,21,FL
1654781330000,15,36,KP
1654737890000,17,10,SV
1654795314000,35,10,SV
1654737915000,32,14,FL
1654738602000,10,17,SV
1654765810000,20L,02R,RJ
1654781645000,20L,02R,RJ
1654781673000,17,10,SV
1654782225000,10,17,SV
1654768879000,17,10,SV
1654769358000,18,17R,RF
1654769695000,15,18,GL
1654795469000,14,03,FL
1654795761000,10,35,SV
1654770857000,11R,14,BR
1654783578000,17,10,SV
1654771360000,15,26,GL
1654796004000,17,10,SV
1654771559000,02R,20L,RJ
1654772122000,15,22,GL
1654783904000,10,17,SV
1654796323000,10,17,SV
1654772206000,10,17,SV
1654797209000,17,10,SV
1654797792000,21,14,FL
1654786051000,17,10,SV
1654798289000,14,21,FL
1654786475000,10,17,SV
1654798878000,10,17,SV
1654799064000,15,23,GL
1654778682000,17,10,SV
1654799397000,17,10,SV
1654779572000,11L,14,BR
1654800043000,15,03,KP
1654800185000,10,17,SV
1654791529000,17,10,SV
1654791570000,15,26,GL
1654800561000,15,07,CT
1654791803000,10,17,SV
1654800724000,17,10,SV
1654792123000,35,10,SV
1654792888000,15,36,KP
1654802005000,15,14,KP
1654792992000,10,35,SV
1654793219000,15,16,KP
1654793581000,03,32,FL
1654806816000,10,17,SV
1654807212000,15,21,GL
1654807308000,21,14,FL
1654807490000,18,12,RF
1654807925000,17,10,SV
1654808763000,10,17,SV
1654809095000,17,10,SV
1654809176000,14,21,FL
1654809273000,09R,12,GR
1654809281000,10,17,SV
1654802289000,10,17,SV
1654809726000,17,10,SV
1654809794000,21,14,FL
1654810037000,10,17,SV
1654863373000,17,10,SV
1654863693000,10,17,SV
1654802461000,21,14,FL
1654863936000,21,32,FL
1654864158000,17,10,SV
1654811134000,14,21,FL
1654864370000,15,23,KP
1654864529000,10,17,SV
1654802725000,14,21,FL
1654814276000,11R,07,BR
1654815430000,17,10,SV
1654815973000,10,17,SV
1654817630000,20L,17R,RJ
1654817744000,17R,20L,SP
1654865461000,32,21,FL
1654865903000,33,15,KP
1654818130000,17,10,SV
1654803448000,09R,36,GR
1654819886000,10,17,SV
1654820528000,17,10,SV
1654820678000,10,17,SV
1654821640000,32,14,FL
1654867971000,15,26,GL
1654829598000,33,36,KP
1654803668000,20L,26,RJ
1654840847000,15,33,KP
1654843708000,27L,09R,GR
1654847919000,14,32,FL
1654850309000,32,14,FL
1654851989000,35L,17R,SP
1654852558000,02R,20L,RJ
1654854062000,33,15,CT
1654855224000,17,10,SV
1654855334000,15,02,GL
1654856390000,10,17,SV
1654856562000,29,11,PA
1654856871000,35L,17,SP
1654857371000,15,26,GL
1654859901000,15,03,GL
1654859961000,15,07,KP
1654860887000,03,32,FL
1654861012000,32,03,FL
1654862432000,17,10,SV
1654863233000,10,17,SV
1654869359000,33,04,KP
1654869465000,17,10,SV
1654869898000,11L,14,BR
1654870103000,10,17,SV
1654870438000,03,25,FL
1654871047000,11R,06L,BR
1654872236000,17,10,SV
1654872410000,29R,11R,BR
1654872417000,33,15,KP
1654873148000,10,17,SV
1654873184000,32,25,FL
1654874881000,33,04,CT
1654874894000,14,32,FL
1654875012000,21,14,FL
1654875286000,35L,25,SP
1654875293000,17,10,SV
1654876470000,10,17,SV
1654876654000,14,21,FL
1654877084000,17,10,SV
1654803745000,17,10,SV
1654804133000,15,26,GL
1654877885000,10,17,SV
1654877946000,34,16,CF
1654804141000,10,17,SV
1654804209000,21,14,FL
1654804505000,33,15,KP
1654804938000,17,10,SV
1654878591000,33,35L,CT
1654878613000,35L,33,SP
1654888877000,10,17,SV
1654805264000,14,21,FL
1654879648000,21,14,FL
1654805596000,10,17,SV
1654806226000,17R,01,SP
1654889798000,17,10,SV
1654890282000,33,34,KP
1654806548000,17,10,SV
1654890435000,10,17,SV
1654882180000,14,21,FL
1654882217000,17,10,SV
1654890629000,29R,14,BR
1654945674000,17,10,SV
1654890877000,17,10,SV
1654891230000,10,17,SV
1654892171000,35L,18,SP
1654882488000,10,17,SV
1654883017000,15,05,GL
1654883755000,20L,02R,RJ
1654946893000,10,17,SV
1654892846000,35R,30,SP
1654948223000,21,25,FL
1654884235000,17,12,SV
1654884797000,21,14,FL
1654885059000,14,21,FL
1654885169000,21,14,FL
1654895093000,17L,35L,SP
1654895811000,17,10,SV
1654885679000,27L,30,GR
1654896049000,10,17,SV
1654948813000,29,33,CT
1654898163000,21,07,FL
1654886211000,14,21,FL
1654886493000,17,12,SV
1654948934000,33,29,CT
1654886946000,10,17,SV
1654899229000,15,33,KP
1654899371000,10,12,SV
1654899767000,09R,27L,GR
1654900441000,17,10,SV
1654949987000,33,26,CT
1654900848000,10,17,SV
1654901194000,17,10,SV
1654901884000,16,34,CF
1654902040000,15,32,KP
1654902221000,10,17,SV
1654888047000,15,16,GL
1654888345000,17,12,SV
1654950849000,03,21,FL
1654907209000,17,10,SV
1654907645000,15,33,CT
1654907987000,02R,20L,RJ
1654909716000,10,17,SV
1654910750000,20L,02R,RJ
1654951031000,20L,02R,RJ
1654911048000,02R,20L,RJ
1654912656000,20L,02R,RJ
1654951667000,33,26,CT
1654917462000,17,10,SV
1654918620000,10,17,SV
1654952039000,03,25,FL
1654919493000,17,10,SV
1654920259000,10,17,SV
1654962308000,16,09,CF
1654962744000,11L,18,BR
1654962952000,15,12,KP
1654963331000,03,32,FL
1654963342000,16,09,CF
1654934032000,11L,29L,BR
1654938493000,02R,20L,RJ
1654940177000,20L,02R,RJ
1654940867000,33,15,CT
1654942202000,17,10,SV
1654964532000,10,17,SV
1654964576000,32,25,FL
1654943685000,10,17,SV
1654952136000,17,10,SV
1654944681000,02R,20L,RJ
1654966193000,03,32,FL
1654966205000,15,21,GL
1654952415000,17R,16,SP
1654967151000,17,10,SV
1654967218000,10,17,SV
1654967218000,17R,14,SP
1654953636000,10,17,SV
1654968072000,32,03,FL
1654981167000,11L,07,BR
1654954033000,02R,20L,RJ
1654968713000,35,10,SV
1654982033000,10,17,SV
1654968955000,10,35,SV
1654954230000,17,10,SV
1654969244000,17,10,SV
1654969293000,20R,21,RJ
1654983238000,14,25,FL
1654954324000,32,03,FL
1654984875000,21,14,FL
1654970044000,34,16,CF
1654986206000,17R,35L,SP
1654954736000,10,17,SV
1654986836000,14,21,FL
1654970714000,10,17,SV
1654970943000,17R,09R,SP
1654971078000,09R,17R,GR
1654954740000,15,33,KP
1654971704000,15,20R,GL
1654993363000,15,33,KP
1654995060000,32,14,FL
1654971768000,20L,15,RJ
1654955238000,17R,36,SP
1654973314000,17,10,SV
1654973522000,15,16,GL
1654974606000,33,26,CT
1654974610000,33,18,CT
1654974890000,14,25,FL
1654975036000,10,17,SV
1654975071000,33,15,KP
1654975103000,03,14,FL
1654975600000,17,10,SV
1654975771000,10,17,SV
1654975795000,32,03,FL
1654977013000,03,32,FL
1655007931000,17,10,SV
1655008804000,10,17,SV
1655024693000,35L,17R,SP
1655029145000,02R,20L,RJ
1655032919000,35,10,SV
1655033427000,10,35,SV
1655036254000,21,32,FL
1654977166000,17,10,SV
1654977426000,11,29,PA
1654978097000,32,03,FL
1654978217000,32,25,FL
1654978248000,10,17,SV
1655037101000,10,15,SV
1655037706000,32,21,FL
1655038315000,15,01,KP
1654979478000,21,32,FL
1654979526000,17,10,SV
1655038617000,17,10,SV
1654955259000,17R,30,SP
1654955547000,17R,14,SP
1654980288000,33,09R,KP
1654980342000,32,21,FL
1654955706000,17R,35L,SP
1654980408000,09R,33,GR
1654981011000,16,34,CF
1654981122000,29,31,PA
1655041511000,10,17,SV
1655042183000,03,32,FL
1654956783000,03,32,FL
1655042261000,17,10,SV
1655042583000,35L,30,SP
1655042695000,10,17,SV
1655042895000,27L,09R,GR
1655043121000,35L,17R,SP
1655043451000,17,10,SV
1655044202000,20L,02R,RJ
1655043592000,21,03,FL
1654957040000,33,26,CT
1655043725000,10,17,SV
1655044805000,17,10,SV
1654957299000,17R,35L,SP
1655045203000,10,11,SV
1654957307000,03,25,FL
1655045738000,32,21,FL
1654957454000,18,30,RF
1655046192000,17,10,SV
1655046625000,15,23,GL
1654957828000,20L,02R,RJ
1655046717000,03,25,FL
1655046978000,03,32,FL
1655047083000,33,18,CT
1654958335000,17,10,SV
1655047470000,32,17,FL
1655047493000,33,26,CT
1655048081000,32,03,FL
1654958504000,17R,35L,SP
1655048964000,33,15,KP
1655062927000,17,10,SV
1654958528000,10,17,SV
1655049602000,10,17,SV
1654958835000,29,11,PA
1655063658000,16,13,CF
1655064007000,10,17,SV
1655064017000,21,14,FL
1655051464000,33,26,CT
1654959015000,03,25,FL
1655064824000,17,10,SV
1654959290000,32,03,FL
1655065390000,14,21,FL
1655065475000,17L,35R,SP
1655065790000,21,14,FL
1655066018000,10,17,SV
1655053142000,17,10,SV
1655053311000,10,17,SV
1655053322000,33,26,CT
1655053796000,29R,11L,BR
1655053851000,15,08,GL
1655066219000,14,21,FL
1655054035000,17,10,SV
1655054157000,10,17,SV
1655067030000,21,14,FL
1654959332000,11R,26,BR
1654960967000,17,10,SV
1655067426000,17,10,SV
1655067658000,17R,18,SP
1655068301000,10,17,SV
1655069166000,15,18,CT
1655070419000,14,29,FL
1655070771000,15,33,CT
